ASSERTION	AAECAAMEAAAAAAAAwFhA
ASSERTION	AAEDAAEBAwAAAAAAAHCnQA==
RUN	parabank.state.StateLoad	stateload	1760300927123	 	3.3.1
USER	Carga de Estados de cuentas	126	END	1760300928161	1760300929103
REQUEST	193		Accounts	1760300928165	1760300929103	OK	 
USER	Carga de Estados de cuentas	193	END	1760300928165	1760300929103
REQUEST	1		Accounts	1760300928156	1760300929105	OK	 
USER	Carga de Estados de cuentas	1	END	1760300928121	1760300929105
REQUEST	104		Accounts	1760300928161	1760300929106	OK	 
USER	Carga de Estados de cuentas	104	END	1760300928160	1760300929106
REQUEST	166		Accounts	1760300928164	1760300929116	OK	 
USER	Carga de Estados de cuentas	166	END	1760300928164	1760300929116
REQUEST	30		Accounts	1760300928156	1760300929117	OK	 
USER	Carga de Estados de cuentas	30	END	1760300928128	1760300929117
REQUEST	181		Accounts	1760300928164	1760300929126	OK	 
REQUEST	38		Accounts	1760300928156	1760300929126	OK	 
USER	Carga de Estados de cuentas	181	END	1760300928164	1760300929126
USER	Carga de Estados de cuentas	38	END	1760300928130	1760300929126
REQUEST	29		Accounts	1760300928156	1760300929129	OK	 
USER	Carga de Estados de cuentas	29	END	1760300928128	1760300929130
REQUEST	97		Accounts	1760300928161	1760300929134	OK	 
USER	Carga de Estados de cuentas	97	END	1760300928160	1760300929135
REQUEST	9		Accounts	1760300928155	1760300929139	OK	 
USER	Carga de Estados de cuentas	9	END	1760300928122	1760300929139
REQUEST	137		Accounts	1760300928165	1760300929140	OK	 
USER	Carga de Estados de cuentas	137	END	1760300928162	1760300929141
REQUEST	135		Accounts	1760300928162	1760300929141	OK	 
USER	Carga de Estados de cuentas	135	END	1760300928162	1760300929142
REQUEST	180		Accounts	1760300928164	1760300929143	OK	 
USER	Carga de Estados de cuentas	180	END	1760300928164	1760300929144
REQUEST	21		Accounts	1760300928157	1760300929144	OK	 
USER	Carga de Estados de cuentas	21	END	1760300928126	1760300929146
REQUEST	198		Accounts	1760300928165	1760300929146	OK	 
REQUEST	136		Accounts	1760300928162	1760300929147	OK	 
USER	Carga de Estados de cuentas	198	END	1760300928165	1760300929148
USER	Carga de Estados de cuentas	136	END	1760300928162	1760300929148
REQUEST	70		Accounts	1760300928163	1760300929148	OK	 
USER	Carga de Estados de cuentas	70	END	1760300928159	1760300929149
REQUEST	52		Accounts	1760300928164	1760300929154	OK	 
REQUEST	12		Accounts	1760300928155	1760300929154	OK	 
USER	Carga de Estados de cuentas	52	END	1760300928158	1760300929155
USER	Carga de Estados de cuentas	12	END	1760300928122	1760300929155
REQUEST	148		Accounts	1760300928163	1760300929155	OK	 
USER	Carga de Estados de cuentas	148	END	1760300928162	1760300929156
REQUEST	169		Accounts	1760300928164	1760300929156	OK	 
USER	Carga de Estados de cuentas	169	END	1760300928164	1760300929157
REQUEST	7		Accounts	1760300928155	1760300929165	OK	 
USER	Carga de Estados de cuentas	7	END	1760300928122	1760300929166
REQUEST	42		Accounts	1760300928156	1760300931928	OK	 
USER	Carga de Estados de cuentas	42	END	1760300928130	1760300931930
REQUEST	84		Accounts	1760300928160	1760300931931	OK	 
REQUEST	171		Accounts	1760300928164	1760300931931	OK	 
USER	Carga de Estados de cuentas	84	END	1760300928160	1760300931931
USER	Carga de Estados de cuentas	171	END	1760300928164	1760300931932
REQUEST	49		Accounts	1760300928159	1760300931937	OK	 
USER	Carga de Estados de cuentas	49	END	1760300928158	1760300931938
REQUEST	189		Accounts	1760300928165	1760300931939	OK	 
USER	Carga de Estados de cuentas	189	END	1760300928164	1760300931940
REQUEST	32		Accounts	1760300928168	1760300931946	OK	 
USER	Carga de Estados de cuentas	32	END	1760300928129	1760300931947
REQUEST	81		Accounts	1760300928160	1760300931947	OK	 
REQUEST	72		Accounts	1760300928165	1760300931948	OK	 
USER	Carga de Estados de cuentas	81	END	1760300928160	1760300931948
USER	Carga de Estados de cuentas	72	END	1760300928159	1760300931949
REQUEST	99		Accounts	1760300928160	1760300931953	OK	 
REQUEST	199		Accounts	1760300928165	1760300931953	OK	 
USER	Carga de Estados de cuentas	99	END	1760300928160	1760300931954
USER	Carga de Estados de cuentas	199	END	1760300928165	1760300931954
REQUEST	25		Accounts	1760300928156	1760300931954	OK	 
USER	Carga de Estados de cuentas	25	END	1760300928127	1760300931955
REQUEST	67		Accounts	1760300928159	1760300931956	OK	 
USER	Carga de Estados de cuentas	67	END	1760300928159	1760300931956
REQUEST	100		Accounts	1760300928161	1760300931961	OK	 
USER	Carga de Estados de cuentas	100	END	1760300928160	1760300931962
REQUEST	20		Accounts	1760300928155	1760300931964	OK	 
USER	Carga de Estados de cuentas	20	END	1760300928125	1760300931965
