ASSERTION	AAEDAAEBAQAAAAAAAHCnQA==
ASSERTION	AAECAAIBAAAAAAAAAPA/
RUN	parabank.payment.Payment	payment	1760300941581	 	3.3.1
REQUEST	81		payment	1760300942646	1760300943593	OK	 
USER	make payments simultaneously	81	END	1760300942645	1760300943594
REQUEST	19		payment	1760300942642	1760300943595	OK	 
USER	make payments simultaneously	19	END	1760300942612	1760300943596
REQUEST	140		payment	1760300942648	1760300943610	OK	 
REQUEST	102		payment	1760300942646	1760300943610	OK	 
REQUEST	66		payment	1760300942646	1760300943610	OK	 
USER	make payments simultaneously	102	END	1760300942646	1760300943611
USER	make payments simultaneously	140	END	1760300942648	1760300943611
USER	make payments simultaneously	66	END	1760300942645	1760300943611
REQUEST	101		payment	1760300942651	1760300943614	OK	 
REQUEST	4		payment	1760300942642	1760300943614	OK	 
USER	make payments simultaneously	101	END	1760300942646	1760300943614
USER	make payments simultaneously	4	END	1760300942606	1760300943614
REQUEST	186		payment	1760300942650	1760300943621	OK	 
USER	make payments simultaneously	186	END	1760300942650	1760300943622
REQUEST	129		payment	1760300942647	1760300943623	OK	 
USER	make payments simultaneously	129	END	1760300942647	1760300943623
REQUEST	69		payment	1760300942645	1760300943629	OK	 
USER	make payments simultaneously	69	END	1760300942645	1760300943630
REQUEST	36		payment	1760300942642	1760300943635	OK	 
USER	make payments simultaneously	36	END	1760300942614	1760300943636
REQUEST	2		payment	1760300942642	1760300943638	OK	 
USER	make payments simultaneously	2	END	1760300942606	1760300943638
REQUEST	3		payment	1760300942642	1760300943648	OK	 
USER	make payments simultaneously	3	END	1760300942606	1760300943648
REQUEST	136		payment	1760300942648	1760300943659	OK	 
USER	make payments simultaneously	136	END	1760300942648	1760300943660
REQUEST	35		payment	1760300942643	1760300943664	OK	 
REQUEST	65		payment	1760300942645	1760300943664	OK	 
USER	make payments simultaneously	35	END	1760300942614	1760300943665
USER	make payments simultaneously	65	END	1760300942645	1760300943665
REQUEST	194		payment	1760300942650	1760300943667	OK	 
USER	make payments simultaneously	194	END	1760300942650	1760300943668
REQUEST	160		payment	1760300942649	1760300943671	OK	 
USER	make payments simultaneously	160	END	1760300942648	1760300943672
REQUEST	163		payment	1760300942649	1760300943672	OK	 
USER	make payments simultaneously	163	END	1760300942649	1760300943672
REQUEST	198		payment	1760300942650	1760300943672	OK	 
REQUEST	195		payment	1760300942650	1760300943672	OK	 
USER	make payments simultaneously	195	END	1760300942650	1760300943673
USER	make payments simultaneously	198	END	1760300942650	1760300943673
REQUEST	90		payment	1760300942649	1760300943687	OK	 
REQUEST	23		payment	1760300942642	1760300943687	OK	 
REQUEST	97		payment	1760300942651	1760300943687	OK	 
USER	make payments simultaneously	97	END	1760300942646	1760300943687
USER	make payments simultaneously	90	END	1760300942646	1760300943687
USER	make payments simultaneously	23	END	1760300942613	1760300943687
REQUEST	161		payment	1760300942649	1760300943694	OK	 
USER	make payments simultaneously	161	END	1760300942649	1760300943694
REQUEST	40		payment	1760300942642	1760300943706	OK	 
REQUEST	113		payment	1760300942647	1760300943706	OK	 
USER	make payments simultaneously	113	END	1760300942647	1760300943707
USER	make payments simultaneously	40	END	1760300942615	1760300943707
REQUEST	17		payment	1760300942643	1760300943707	OK	 
USER	make payments simultaneously	17	END	1760300942611	1760300943708
REQUEST	83		payment	1760300942646	1760300943716	OK	 
REQUEST	29		payment	1760300942643	1760300943716	OK	 
USER	make payments simultaneously	29	END	1760300942613	1760300943717
USER	make payments simultaneously	83	END	1760300942645	1760300943717
REQUEST	60		payment	1760300942645	1760300943722	OK	 
USER	make payments simultaneously	60	END	1760300942645	1760300943722
REQUEST	128		payment	1760300942647	1760300943722	OK	 
USER	make payments simultaneously	128	END	1760300942647	1760300943723
REQUEST	111		payment	1760300942647	1760300943724	OK	 
USER	make payments simultaneously	111	END	1760300942646	1760300943725
REQUEST	171		payment	1760300942649	1760300943726	OK	 
USER	make payments simultaneously	171	END	1760300942649	1760300943727
REQUEST	139		payment	1760300942648	1760300943727	OK	 
USER	make payments simultaneously	139	END	1760300942648	1760300943728
REQUEST	76		payment	1760300942645	1760300943732	OK	 
USER	make payments simultaneously	76	END	1760300942645	1760300943733
REQUEST	177		payment	1760300942651	1760300943736	OK	 
USER	make payments simultaneously	177	END	1760300942649	1760300943737
REQUEST	119		payment	1760300942647	1760300943739	OK	 
USER	make payments simultaneously	119	END	1760300942647	1760300943740
REQUEST	51		payment	1760300942645	1760300943740	OK	 
USER	make payments simultaneously	51	END	1760300942644	1760300943741
REQUEST	166		payment	1760300942649	1760300943743	OK	 
REQUEST	79		payment	1760300942645	1760300943743	OK	 
USER	make payments simultaneously	166	END	1760300942649	1760300943744
USER	make payments simultaneously	79	END	1760300942645	1760300943744
REQUEST	104		payment	1760300942646	1760300943746	OK	 
REQUEST	12		payment	1760300942642	1760300943746	OK	 
USER	make payments simultaneously	104	END	1760300942646	1760300943747
USER	make payments simultaneously	12	END	1760300942608	1760300943747
REQUEST	147		payment	1760300942648	1760300943748	OK	 
REQUEST	15		payment	1760300942644	1760300943749	OK	 
USER	make payments simultaneously	147	END	1760300942648	1760300943749
USER	make payments simultaneously	15	END	1760300942611	1760300943749
REQUEST	8		payment	1760300942643	1760300943755	OK	 
REQUEST	122		payment	1760300942647	1760300943755	OK	 
REQUEST	145		payment	1760300942648	1760300943755	OK	 
REQUEST	151		payment	1760300942648	1760300943756	OK	 
USER	make payments simultaneously	122	END	1760300942647	1760300943756
