ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	parabank.transaction.TransferLoadSimulation	transferloadsimulation	1760300862331	 	3.3.1
USER	Carga de Transferencias sin Login	75	END	1760300863926	1760300864690
USER	Carga de Transferencias sin Login	189	START	1760300864695	1760300864695
REQUEST	70		Transfer	1760300863896	1760300864696	OK	 
USER	Carga de Transferencias sin Login	191	START	1760300864696	1760300864696
USER	Carga de Transferencias sin Login	190	START	1760300864696	1760300864696
USER	Carga de Transferencias sin Login	70	END	1760300863896	1760300864696
REQUEST	77		Transfer	1760300863940	1760300864699	OK	 
USER	Carga de Transferencias sin Login	77	END	1760300863939	1760300864699
REQUEST	66		Transfer	1760300863876	1760300864701	OK	 
USER	Carga de Transferencias sin Login	66	END	1760300863876	1760300864701
USER	Carga de Transferencias sin Login	192	START	1760300864711	1760300864711
REQUEST	73		Transfer	1760300863924	1760300864714	OK	 
USER	Carga de Transferencias sin Login	73	END	1760300863923	1760300864715
USER	Carga de Transferencias sin Login	194	START	1760300864727	1760300864727
USER	Carga de Transferencias sin Login	193	START	1760300864727	1760300864727
USER	Carga de Transferencias sin Login	195	START	1760300864727	1760300864727
REQUEST	79		Transfer	1760300863957	1760300864733	OK	 
USER	Carga de Transferencias sin Login	79	END	1760300863956	1760300864733
USER	Carga de Transferencias sin Login	196	START	1760300864741	1760300864741
USER	Carga de Transferencias sin Login	197	START	1760300864741	1760300864741
USER	Carga de Transferencias sin Login	198	START	1760300864757	1760300864757
USER	Carga de Transferencias sin Login	200	START	1760300864757	1760300864757
USER	Carga de Transferencias sin Login	199	START	1760300864757	1760300864757
REQUEST	81		Transfer	1760300863972	1760300864765	OK	 
USER	Carga de Transferencias sin Login	81	END	1760300863971	1760300864765
REQUEST	82		Transfer	1760300863978	1760300864771	OK	 
REQUEST	85		Transfer	1760300864012	1760300864771	OK	 
USER	Carga de Transferencias sin Login	82	END	1760300863976	1760300864771
USER	Carga de Transferencias sin Login	85	END	1760300864012	1760300864771
USER	Carga de Transferencias sin Login	201	START	1760300864773	1760300864773
USER	Carga de Transferencias sin Login	202	START	1760300864776	1760300864776
USER	Carga de Transferencias sin Login	203	START	1760300864776	1760300864776
REQUEST	78		Transfer	1760300863956	1760300864783	OK	 
USER	Carga de Transferencias sin Login	78	END	1760300863955	1760300864783
REQUEST	88		Transfer	1760300864017	1760300864784	OK	 
USER	Carga de Transferencias sin Login	88	END	1760300864016	1760300864785
REQUEST	84		Transfer	1760300863988	1760300864787	OK	 
USER	Carga de Transferencias sin Login	84	END	1760300863988	1760300864787
USER	Carga de Transferencias sin Login	204	START	1760300864789	1760300864789
REQUEST	89		Transfer	1760300864017	1760300864798	OK	 
USER	Carga de Transferencias sin Login	89	END	1760300864016	1760300864798
USER	Carga de Transferencias sin Login	206	START	1760300864805	1760300864805
USER	Carga de Transferencias sin Login	205	START	1760300864805	1760300864805
USER	Carga de Transferencias sin Login	207	START	1760300864806	1760300864806
REQUEST	94		Transfer	1760300864057	1760300864808	OK	 
USER	Carga de Transferencias sin Login	94	END	1760300864056	1760300864809
REQUEST	83		Transfer	1760300863979	1760300864809	OK	 
USER	Carga de Transferencias sin Login	83	END	1760300863976	1760300864810
REQUEST	93		Transfer	1760300864054	1760300864813	OK	 
USER	Carga de Transferencias sin Login	93	END	1760300864054	1760300864814
USER	Carga de Transferencias sin Login	208	START	1760300864820	1760300864820
USER	Carga de Transferencias sin Login	209	START	1760300864820	1760300864820
REQUEST	91		Transfer	1760300864040	1760300864823	OK	 
USER	Carga de Transferencias sin Login	91	END	1760300864039	1760300864823
REQUEST	97		Transfer	1760300864082	1760300864825	OK	 
USER	Carga de Transferencias sin Login	97	END	1760300864081	1760300864826
REQUEST	96		Transfer	1760300864069	1760300864830	OK	 
USER	Carga de Transferencias sin Login	96	END	1760300864068	1760300864831
REQUEST	90		Transfer	1760300864027	1760300864831	OK	 
USER	Carga de Transferencias sin Login	90	END	1760300864026	1760300864831
REQUEST	98		Transfer	1760300864081	1760300864834	OK	 
USER	Carga de Transferencias sin Login	98	END	1760300864081	1760300864834
USER	Carga de Transferencias sin Login	212	START	1760300864836	1760300864836
USER	Carga de Transferencias sin Login	211	START	1760300864836	1760300864836
USER	Carga de Transferencias sin Login	210	START	1760300864836	1760300864836
USER	Carga de Transferencias sin Login	213	START	1760300864852	1760300864852
USER	Carga de Transferencias sin Login	214	START	1760300864856	1760300864856
USER	Carga de Transferencias sin Login	215	START	1760300864856	1760300864856
REQUEST	87		Transfer	1760300864012	1760300864857	OK	 
USER	Carga de Transferencias sin Login	87	END	1760300864012	1760300864858
REQUEST	95		Transfer	1760300864057	1760300864859	OK	 
USER	Carga de Transferencias sin Login	95	END	1760300864056	1760300864859
REQUEST	86		Transfer	1760300864013	1760300864865	OK	 
USER	Carga de Transferencias sin Login	86	END	1760300864012	1760300864865
REQUEST	99		Transfer	1760300864095	1760300864865	OK	 
USER	Carga de Transferencias sin Login	99	END	1760300864095	1760300864866
USER	Carga de Transferencias sin Login	216	START	1760300864868	1760300864868
USER	Carga de Transferencias sin Login	217	START	1760300864884	1760300864884
USER	Carga de Transferencias sin Login	218	START	1760300864884	1760300864884
USER	Carga de Transferencias sin Login	219	START	1760300864886	1760300864886
REQUEST	80		Transfer	1760300863957	1760300864890	OK	 
USER	Carga de Transferencias sin Login	80	END	1760300863956	1760300864891
USER	Carga de Transferencias sin Login	220	START	1760300864901	1760300864901
USER	Carga de Transferencias sin Login	221	START	1760300864901	1760300864901
REQUEST	101		Transfer	1760300864097	1760300864906	OK	 
USER	Carga de Transferencias sin Login	101	END	1760300864096	1760300864906
REQUEST	106		Transfer	1760300864146	1760300864906	OK	 
USER	Carga de Transferencias sin Login	106	END	1760300864145	1760300864907
REQUEST	108		Transfer	1760300864148	1760300864911	OK	 
